#
# 10MV W15 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.880,0.894,0.901,0.909,0.915,0.920,0.924,0.927
4,0.895,0.912,0.921,0.931,0.939,0.946,0.950,0.955
5,0.904,0.922,0.933,0.945,0.955,0.963,0.968,0.975
7,0.916,0.937,0.949,0.965,0.978,0.989,0.996,1.004
10,0.926,0.949,0.965,0.984,1.000,1.015,1.025,1.037
15,0.935,0.961,0.978,1.001,1.022,1.042,1.056,1.072
20,0.939,0.967,0.985,1.011,1.034,1.057,1.075,1.095
30,0.945,0.974,0.994,1.022,1.049,1.078,1.100,1.126
40,0.949,0.979,0.999,1.029,1.058,1.090,1.115,1.144
