X15,15,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,
3,0.871,0.888,0.897,0.905,0.911,0.916,0.919,0.922,
4,0.890,0.910,0.920,0.931,0.939,0.945,0.949,0.953,
5,0.900,0.922,0.934,0.947,0.956,0.963,0.968,0.974,
7,0.912,0.937,0.951,0.967,0.978,0.988,0.995,1.002,
10,0.922,0.949,0.965,0.985,1.000,1.013,1.023,1.033,
15,0.930,0.960,0.978,1.001,1.020,1.038,1.051,1.065,
20,0.935,0.966,0.985,1.010,1.031,1.052,1.068,1.086,
30,0.941,0.973,0.993,1.021,1.045,1.071,1.091,1.114,
40,0.944,0.977,0.998,1.027,1.054,1.082,1.104,1.129,
