#
# 15MV Open Field Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,40,
3,0.877,0.894,0.902,0.910,0.916,0.919,0.921,0.923,0.923
4,0.896,0.915,0.925,0.936,0.942,0.947,0.949,0.952,0.952
5,0.906,0.927,0.939,0.951,0.959,0.965,0.968,0.971,0.971
7,0.917,0.941,0.955,0.970,0.980,0.988,0.992,0.996,0.997
10,0.927,0.953,0.969,0.987,1.000,1.010,1.016,1.021,1.022
15,0.934,0.963,0.980,1.001,1.017,1.030,1.038,1.045,1.047
20,0.938,0.968,0.986,1.008,1.026,1.040,1.050,1.059,1.061
30,0.942,0.973,0.992,1.016,1.035,1.052,1.064,1.075,1.078
40,0.945,0.976,0.995,1.020,1.040,1.058,1.070,1.082,1.085
