#
# 15MV W60 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,
3,0.863,0.881,0.889,0.898,0.905,0.911
4,0.882,0.902,0.913,0.924,0.933,0.941
5,0.892,0.914,0.926,0.940,0.951,0.961
7,0.905,0.929,0.944,0.961,0.976,0.989
10,0.916,0.944,0.961,0.983,1.000,1.018
15,0.926,0.957,0.976,1.002,1.025,1.048
20,0.931,0.964,0.985,1.013,1.040,1.068
30,0.940,0.974,0.997,1.029,1.061,1.096
40,0.944,0.980,1.003,1.037,1.072,1.110
