#
# 4MV W15 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.866,0.878,0.887,0.897,0.905,0.913,0.917,0.923
4,0.878,0.894,0.904,0.918,0.928,0.938,0.943,0.951
5,0.887,0.905,0.917,0.934,0.946,0.958,0.965,0.974
7,0.901,0.922,0.938,0.959,0.975,0.990,1.001,1.013
10,0.912,0.937,0.955,0.980,1.000,1.022,1.036,1.054
15,0.923,0.949,0.970,0.998,1.024,1.053,1.074,1.098
20,0.928,0.955,0.978,1.010,1.040,1.074,1.100,1.130
30,0.934,0.964,0.988,1.024,1.061,1.102,1.134,1.174
40,0.937,0.970,0.995,1.032,1.072,1.118,1.154,1.200
