#
# 4MV W45 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,
3,0.870,0.882,0.891,0.902,0.909,0.917,0.921
4,0.881,0.896,0.907,0.920,0.931,0.940,0.947
5,0.891,0.907,0.920,0.935,0.948,0.960,0.968
7,0.904,0.925,0.940,0.959,0.975,0.991,1.002
10,0.915,0.939,0.956,0.980,1.000,1.023,1.038
15,0.923,0.950,0.970,0.998,1.026,1.055,1.076
20,0.929,0.957,0.979,1.011,1.042,1.076,1.103
30,0.936,0.967,0.990,1.026,1.063,1.107,1.140
40,0.941,0.973,0.997,1.035,1.075,1.123,1.160
