X04,0,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,40,
3,0.866,0.879,0.887,0.898,0.906,0.912,0.915,0.919,0.920
4,0.879,0.895,0.905,0.919,0.929,0.937,0.942,0.947,0.948
5,0.889,0.907,0.920,0.935,0.948,0.958,0.963,0.969,0.970
7,0.903,0.924,0.940,0.959,0.975,0.989,0.996,1.004,1.006
10,0.914,0.938,0.956,0.980,1.000,1.018,1.029,1.039,1.042
15,0.922,0.948,0.969,0.996,1.022,1.045,1.059,1.073,1.078
20,0.926,0.954,0.976,1.005,1.033,1.060,1.077,1.095,1.101
30,0.931,0.960,0.983,1.015,1.047,1.078,1.099,1.121,1.129
40,0.933,0.963,0.986,1.020,1.053,1.086,1.109,1.132,1.141
