#
# 6MV W30 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.876,0.887,0.895,0.903,0.911,0.918,0.923,0.929
4,0.887,0.901,0.912,0.922,0.932,0.941,0.947,0.955
5,0.896,0.911,0.922,0.936,0.949,0.960,0.968,0.977
7,0.909,0.927,0.941,0.959,0.974,0.990,1.001,1.014
10,0.920,0.941,0.957,0.980,0.999,1.022,1.037,1.055
15,0.930,0.954,0.972,1.000,1.026,1.055,1.076,1.102
20,0.936,0.962,0.982,1.012,1.043,1.077,1.103,1.136
30,0.943,0.972,0.995,1.029,1.065,1.109,1.143,1.187
40,0.948,0.978,1.002,1.039,1.080,1.129,1.168,1.218
