#
# 6MV W45 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,
3,0.881,0.893,0.900,0.909,0.916,0.922,0.927
4,0.893,0.906,0.915,0.927,0.936,0.945,0.950
5,0.901,0.916,0.927,0.939,0.951,0.962,0.969
7,0.912,0.931,0.944,0.961,0.975,0.990,1.000
10,0.923,0.944,0.960,0.981,1.000,1.019,1.032
15,0.932,0.955,0.973,0.999,1.023,1.048,1.067
20,0.937,0.962,0.982,1.010,1.038,1.068,1.091
30,0.944,0.971,0.992,1.024,1.057,1.095,1.124
40,0.948,0.976,0.999,1.033,1.068,1.110,1.143
