#
# 6MV W60 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,
3,0.878,0.888,0.896,0.906,0.913,0.921
4,0.890,0.903,0.912,0.924,0.934,0.943
5,0.897,0.913,0.924,0.939,0.950,0.962
7,0.910,0.929,0.942,0.960,0.976,0.992
10,0.921,0.942,0.958,0.981,1.000,1.022
15,0.931,0.955,0.972,0.999,1.027,1.055
20,0.936,0.962,0.983,1.012,1.043,1.077
30,0.944,0.972,0.995,1.028,1.064,1.107
40,0.949,0.978,1.001,1.037,1.077,1.124
