#
# 6MV Open Field Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,40,
3,0.880,0.891,0.899,0.908,0.915,0.920,0.923,0.926,0.926
4,0.892,0.906,0.915,0.927,0.936,0.943,0.946,0.950,0.951
5,0.901,0.917,0.928,0.942,0.952,0.961,0.966,0.970,0.971
7,0.913,0.932,0.946,0.963,0.977,0.988,0.995,1.001,1.003
10,0.924,0.946,0.962,0.983,1.000,1.015,1.024,1.032,1.035
15,0.932,0.956,0.974,0.999,1.020,1.039,1.052,1.063,1.067
20,0.936,0.961,0.980,1.007,1.031,1.053,1.067,1.082,1.086
30,0.941,0.967,0.987,1.016,1.043,1.069,1.086,1.104,1.110
40,0.943,0.970,0.990,1.020,1.048,1.076,1.095,1.113,1.119
