X08,15,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,
3,0.891,0.903,0.910,0.917,0.923,0.928,0.932,0.936,
4,0.904,0.918,0.926,0.936,0.943,0.950,0.955,0.961,
5,0.910,0.927,0.937,0.949,0.958,0.966,0.972,0.978,
7,0.921,0.941,0.953,0.967,0.979,0.991,0.998,1.007,
10,0.931,0.952,0.966,0.985,0.999,1.015,1.025,1.038,
15,0.939,0.962,0.978,1.000,1.019,1.039,1.054,1.072,
20,0.943,0.967,0.984,1.009,1.030,1.054,1.073,1.096,
30,0.949,0.975,0.994,1.020,1.047,1.076,1.100,1.130,
40,0.953,0.980,0.999,1.028,1.057,1.089,1.116,1.150,
